@relation LOAN

@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Property_Area numeric
@attribute Loan_Status {1.0,2.0}

@data
2,0,1,1,4974.317256,0,83.31499,360,2,1.0
2,0,1,1,4583,0,112,360,3,1.0
2,1,1,1,2882,1843,123,480,2,2.0
2,0,1,1,4940.046474,0,36.68005,360,2,1.0
1,0,1,1,6283,4416,209,360,3,1.0
2,1,2,1,2661,7101,279,180,2,2.0
2,0,1,1,5923,2054,211,360,3,2.0
1,0,1,2,6050,4333,120,180,1,1.0
2,3,1,1,5703,0,128,360,1,2.0
1,0,2,1,4350,0,154,360,3,2.0
2,2,2,1,1958,1456,60,300,1,2.0
2,1,1,1,5955,5625,315,360,1,2.0
2,0,1,1,2685.020253,1924.625286,143.944892,295.789791,1,1.0
1,1,1,1,4723,0,81,360,2,1.0
2,0,1,1,3365.382854,2192.041934,121.396901,360,3,1.0
2,1,1,1,6400,7250,180,360,1,1.0
2,2,1,2,1600,20000,239,360,1,1.0
2,3,1,1,4281,0,100,360,1,2.0
2,2,2,1,1993,1625,113,180,2,2.0
1,0,1,1,3692,0,93,360,3,2.0
2,3,1,-1,4416,1250,110,360,1,2.0
1,0,1,1,4895,0,102,360,2,2.0
2,3,2,2,3333,2166,130,360,2,2.0
2,2,1,1,4006,1526,168,360,1,2.0
2,0,1,1,5295.754933,0,102.54817,360,1,1.0
2,0,1,1,3859,3300,142,180,3,2.0
2,1,2,1,6608,0,137,180,1,2.0
2,0,1,1,2500,2118,104,360,2,2.0
1,0,1,1,3254,0,50,360,1,2.0
2,0,1,1,3015,2188,153,360,3,2.0
1,0,1,1,1860.236417,0,-1,360,1,1.0
2,0,1,1,1854.131697,3221.757061,150.11276,360,1,1.0
1,0,1,2,6400,0,200,360,3,2.0
1,2,1,1,3588,0,110,360,3,1.0
1,2,1,1,3547,0,80,360,3,1.0
1,0,1,2,2600,1717,99,300,2,1.0
2,2,1,1,6540,0,205,360,2,2.0
2,0,1,2,16120,0,260,360,1,2.0
2,3,2,2,5703,0,130,360,3,2.0
1,0,2,2,2583,2167,104,360,3,2.0
2,2,1,1,5819,5000,120,360,3,2.0
2,0,2,1,4887,0,133,360,3,1.0
1,0,1,1,1811,1666,54,360,1,2.0
1,0,1,1,6222.245105,0,146.146147,360,3,1.0
2,0,2,1,3000,1666,100,480,1,1.0
1,3,1,2,9357,0,292,360,2,2.0
1,0,2,1,3189,2598,120,-1,3,2.0
2,0,1,1,14683,2100,304,360,3,1.0
1,0,1,1,4095,3447,151,360,3,2.0
1,0,2,1,1963,0,53,360,2,2.0
1,0,1,1,4191,0,120,360,3,2.0
1,0,1,1,4166,7210,184,360,1,2.0
2,0,1,1,3506.270131,1641.87136,116.825827,360,3,1.0
2,0,1,1,2799,2253,122,360,2,2.0
2,1,1,-1,4166,3369,201,360,1,1.0
2,3,2,1,2071,754,94,480,2,2.0
2,0,1,1,3727,1775,131,360,2,2.0
2,0,2,2,2609,3449,165,180,3,1.0
1,0,1,1,4750,0,94,360,2,2.0
1,0,1,1,10000,1666,225,360,3,1.0
2,2,1,1,5185,0,155,360,2,2.0
2,1,1,1,8080,2250,180,360,1,2.0
2,1,1,2,3466,1210,130,360,3,2.0
2,3,1,1,3167,4000,180,300,2,1.0
1,0,1,1,3865,1640,-1,360,3,2.0
1,0,2,1,3358,0,80,36,2,1.0
2,1,2,1,4050,5302,138,360,3,1.0
2,1,1,2,2395,0,-1,360,2,2.0
2,0,2,1,2600,1911,116,360,2,1.0
2,0,1,2,2083,4083,160,360,2,2.0
2,0,1,1,4333,2451,110,360,1,1.0
2,0,1,1,5726,4595,258,360,2,1.0
2,2,1,1,4616,0,134,360,1,1.0
1,0,1,2,7085,0,84,360,2,2.0
2,0,2,1,1863,1041,98,360,2,2.0
2,0,1,1,4860,830,125,360,2,2.0
1,0,1,1,3750,0,113,480,1,1.0
2,3,1,1,8750,4996,130,360,3,2.0
2,0,1,1,2383,3334,172,360,2,2.0
2,0,1,1,1922.69622,2449.338309,158.212811,360,1,1.0
2,1,1,1,3750,0,116,360,2,2.0
1,0,1,1,1916.976764,0,-1,360,1,1.0
2,0,1,1,2785,2016,110,360,3,2.0
2,3,1,2,5266,1774,187,360,2,2.0
2,1,1,1,8300,0,152,300,2,1.0
2,0,1,1,2625,6250,187,360,3,2.0
2,0,1,1,1759,3541,131,360,2,2.0
1,0,1,1,2378,0,9,360,1,1.0
2,0,2,1,4467,0,120,360,3,2.0
2,0,2,1,2454,2333,181,360,1,1.0
2,0,1,1,4652,3583,-1,360,2,2.0
2,0,1,1,4587.96855,0,128.797344,360,3,1.0
1,0,1,1,3533.70823,0,76.629438,360,1,1.0
1,0,1,1,4843,3806,151,360,2,2.0
2,0,1,1,2425,2340,143,360,2,2.0
1,0,1,1,2526,1783,145,360,3,2.0
2,1,1,2,2178,0,66,300,3,1.0
1,0,2,1,3598,1287,100,360,3,1.0
2,3,2,1,4931,0,128,360,2,1.0
2,1,1,1,3875,0,67,360,1,1.0
2,0,1,1,2958,2900,131,360,2,2.0
1,0,1,1,2014,1929,74,360,1,2.0
2,0,1,1,3426.577458,1994.682153,113.049042,360,3,1.0
1,0,1,1,1800,1213,47,360,1,2.0
1,0,1,1,4300,0,136,360,2,1.0
1,1,1,2,8624,0,150,360,2,2.0
1,0,1,1,3472.843952,0,84.511483,360,3,1.0
1,0,1,1,14999,0,242,360,2,1.0
1,0,1,1,2971,2791,144,360,2,2.0
2,0,1,1,1964.378843,6448.151841,69.3431,320.105603,3,1.0
1,0,1,1,4456.172031,0,128.434401,360,2,1.0
2,0,2,1,1800,2934,93,360,1,1.0
2,0,1,1,5695,4167,175,360,2,2.0
1,0,1,1,3846,0,111,360,2,2.0
2,0,1,1,2141.090865,3216.509243,152.552537,360,1,1.0
1,0,1,1,1926,1851,50,360,2,2.0
2,3,1,1,3430,1250,128,360,2,1.0
2,2,1,1,7583,0,187,360,1,2.0
2,0,1,1,4301,0,118,360,1,2.0
