@relation 'LOAN-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@ATTRIBUTE 'Gender'	NUMERIC
@ATTRIBUTE 'Married'	NUMERIC
@ATTRIBUTE 'Dependents'	NUMERIC
@ATTRIBUTE 'Education'	NUMERIC
@ATTRIBUTE 'Self_Employed'	NUMERIC
@ATTRIBUTE 'ApplicantIncome'	NUMERIC
@ATTRIBUTE 'CoapplicantIncome'	NUMERIC
@ATTRIBUTE 'LoanAmount'	NUMERIC
@ATTRIBUTE 'Loan_Amount_Term'	NUMERIC
@ATTRIBUTE 'Credit_History'	NUMERIC
@ATTRIBUTE 'Property_Area'	NUMERIC
@attribute Loan_Status {1.0,2.0}

@data
1.0,1.0,0.0,1.0,1.0,5849,0,-1,360,2.0,1.0,2.0
1.0,2.0,1.0,1.0,1.0,4583,1508,128,360,2.0,3.0,1.0
1.0,2.0,0.0,1.0,2.0,3000,0,66,360,2.0,1.0,2.0
1.0,2.0,0.0,2.0,1.0,2583,2358,120,360,2.0,1.0,2.0
1.0,1.0,0.0,1.0,1.0,6000,0,141,360,2.0,1.0,2.0
1.0,2.0,2.0,1.0,2.0,5417,4196,267,360,2.0,1.0,2.0
1.0,2.0,0.0,2.0,1.0,2333,1516,95,360,2.0,1.0,2.0
1.0,2.0,3.0,1.0,1.0,3036,2504,158,360,1.0,2.0,1.0
1.0,2.0,2.0,1.0,1.0,4006,1526,168,360,2.0,1.0,2.0
1.0,2.0,1.0,1.0,1.0,12841,10968,349,360,2.0,2.0,1.0
1.0,2.0,2.0,1.0,1.0,3200,700,70,360,2.0,1.0,2.0
1.0,2.0,2.0,1.0,-1.0,2500,1840,109,360,2.0,1.0,2.0
1.0,2.0,2.0,1.0,1.0,3073,8106,200,360,2.0,1.0,2.0
1.0,1.0,0.0,1.0,1.0,1853,2840,114,360,2.0,3.0,1.0
1.0,2.0,2.0,1.0,1.0,1299,1086,17,120,2.0,1.0,2.0
1.0,1.0,0.0,1.0,1.0,4950,0,125,360,2.0,1.0,2.0
1.0,1.0,1.0,2.0,1.0,3596,0,100,240,-1.0,1.0,2.0
2.0,1.0,0.0,1.0,1.0,3510,0,76,360,1.0,1.0,1.0
1.0,2.0,0.0,2.0,1.0,4887,0,133,360,2.0,3.0,1.0
1.0,2.0,0.0,1.0,-1.0,2600,3500,115,-1,2.0,1.0,2.0
1.0,2.0,0.0,2.0,1.0,7660,0,104,360,1.0,1.0,1.0
1.0,2.0,1.0,1.0,1.0,5955,5625,315,360,2.0,1.0,2.0
