@RELATION 'LOAN'

@ATTRIBUTE 'Gender'	NUMERIC
@ATTRIBUTE 'Married'	NUMERIC
@ATTRIBUTE 'Dependents'	NUMERIC
@ATTRIBUTE 'Education'	NUMERIC
@ATTRIBUTE 'Self_Employed'	NUMERIC
@ATTRIBUTE 'ApplicantIncome'	NUMERIC
@ATTRIBUTE 'CoapplicantIncome'	NUMERIC
@ATTRIBUTE 'LoanAmount'	NUMERIC
@ATTRIBUTE 'Loan_Amount_Term'	NUMERIC
@ATTRIBUTE 'Credit_History'	NUMERIC
@ATTRIBUTE 'Property_Area'	NUMERIC
@ATTRIBUTE 'Loan_Status'	{1.0,2.0}

@DATA
1.0,2.0,0.0,2.0,1.0,2400.0,3800.0,-1.0,180.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,1.0,2799.0,2253.0,122.0,360.0,2.0,2.0,2.0
2.0,1.0,0.0,1.0,1.0,2137.0,8980.0,137.0,360.0,1.0,2.0,2.0
2.0,1.0,1.0,1.0,1.0,3541.0,0.0,112.0,360.0,-1.0,2.0,2.0
1.0,2.0,2.0,2.0,1.0,2947.0,1646.870612,21.304666,266.789728,1.0,1.0,1.0
1.0,2.0,0.0,1.0,1.0,7333.0,8333.0,175.0,300.0,-1.0,3.0,2.0
1.0,2.0,2.0,1.0,1.0,2045.0,1619.0,101.0,360.0,2.0,3.0,2.0
1.0,2.0,0.0,1.0,1.0,4179.010088,7196.286061,148.629227,360.0,2.0,1.0,1.0
1.0,1.0,3.0,1.0,1.0,9167.0,0.0,185.0,360.0,2.0,3.0,2.0
1.0,2.0,2.0,2.0,1.0,1958.0,1456.0,60.0,300.0,-1.0,1.0,2.0
1.0,2.0,0.0,1.0,1.0,1828.0,1330.0,100.0,-1.0,1.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0,15995.974957,0.0,213.031891,360.0,1.0,1.0,1.0
1.0,2.0,0.0,1.0,1.0,5695.0,4167.0,175.0,360.0,2.0,2.0,2.0
1.0,2.0,0.0,1.0,1.0,1892.047805,4893.672164,139.4317,360.0,1.0,2.0,1.0
