@relation 'New Knowledge Base-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily'

@attribute Gender numeric
@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History numeric
@attribute Property_Area numeric
@attribute Loan_Status {1.0,2.0}

@data
0.666667,0.666667,0.25,0,0.666667,0.070489,0,0,0.75052,1,0,2.0
0.666667,1,0.5,0,0.666667,0.05483,0.036192,0.184023,0.75052,1,1,1.0
0.666667,1,0.25,0,1,0.03525,0,0.095578,0.75052,1,0,2.0
0.666667,1,0.25,1,0.666667,0.030093,0.056592,0.172611,0.75052,1,0,2.0
0.666667,0.666667,0.25,0,0.666667,0.072356,0,0.202568,0.75052,1,0,2.0
0.666667,1,0.75,0,1,0.065145,0.100703,0.382311,0.75052,1,0,2.0
0.666667,1,0.25,1,0.666667,0.027001,0.036384,0.136947,0.75052,1,0,2.0
0.666667,1,1,0,0.666667,0.035696,0.060096,0.226819,0.75052,0.666667,0.5,1.0
0.666667,1,0.75,0,0.666667,0.047693,0.036624,0.241084,0.75052,1,0,2.0
0.666667,1,0.5,0,0.666667,0.15697,0.26323,0.499287,0.75052,1,0.5,1.0
0.666667,1,0.75,0,0.666667,0.037724,0.0168,0.101284,0.75052,1,0,2.0
0.666667,1,0.75,0,0,0.029066,0.04416,0.156919,0.75052,1,0,2.0
0.666667,1,0.75,0,0.666667,0.036153,0.194542,0.286733,0.75052,1,0,2.0
0.666667,0.666667,0.25,0,0.666667,0.021064,0.068159,0.164051,0.75052,1,1,1.0
0.666667,1,0.75,0,0.666667,0.014212,0.026064,0.025678,0.251559,1,0,2.0
0.666667,0.666667,0.25,0,0.666667,0.059369,0,0.179743,0.75052,1,0,2.0
0.666667,0.666667,0.5,1,0.666667,0.042622,0,0.14408,0.50104,0,0,2.0
1,0.666667,0.25,0,0.666667,0.041558,0,0.109843,0.75052,0.666667,0,1.0
0.666667,1,0.25,1,0.666667,0.05859,0,0.191155,0.75052,1,1,1.0
0.666667,1,0.25,0,0,0.030303,0.083999,0.165478,0,1,0,2.0
0.666667,1,0.25,1,0.666667,0.092888,0,0.149786,0.75052,0.666667,0,1.0
0.666667,1,0.5,0,0.666667,0.0718,0.134999,0.450785,0.75052,1,0,2.0
0.666667,1,0.25,1,0.666667,0.030303,0.045864,0.166904,0.75052,0.666667,0.5,1.0
0,1,0.75,1,0.666667,0.039765,0.046008,0.161198,0.75052,0.666667,1,1.0
0.666667,1,0.5,0,0,0.044119,0.070199,0.216833,0.75052,0,0.5,1.0
0.666667,1,0.25,0,1,0.116388,0,0.273894,0.75052,1,0.5,2.0
0.666667,1,0.25,0,0.666667,0.032764,0.054072,0.175464,0.75052,1,0.5,2.0
0.666667,1,0.75,1,0.666667,0.050414,0.02496,0.158345,0.75052,1,0,2.0
0.666667,0.666667,0.25,1,0.666667,0.01598,0,0.051355,0.75052,1,0,1.0
1,0.666667,0.75,0,0,0.044527,0.049992,0.172611,0.75052,1,0.5,2.0
0.666667,1,0.5,0,0,0.049672,0.080855,0.28816,0.75052,0,0,1.0
0.666667,0.666667,0.25,0,0.666667,0.037316,0,0.10699,0.75052,1,0,1.0
0.666667,0.666667,0.5,0,1,0.056178,0,0.152639,0.75052,1,1,1.0
0.666667,1,0.25,0,0.666667,0.041435,0.040008,0.164051,0.75052,1,0.5,2.0
0.666667,0.666667,1,0,0.666667,0.152752,0.071999,0.457917,0.75052,1,1,1.0
0.666667,1,0.25,0,0.666667,0.026283,0.049608,0,0.75052,1,0,2.0
0.666667,1,0.25,0,0.666667,0.020754,0.03192,0.14408,0,0.666667,0,1.0
1,1,0.25,0,0.666667,0.0435,0.035016,0.206847,0.75052,1,0.5,2.0
0.666667,0.666667,0.25,0,0.666667,0.049672,0.173039,0.263909,0.75052,1,0,2.0
0.666667,0.666667,0.25,1,0.666667,0.044502,0.040032,0.158345,0.75052,1,0.5,2.0
0.666667,0.666667,0.25,0,0.666667,0.042672,0,0.115549,0.75052,1,0,1.0
0.666667,0.666667,0.25,0,0.666667,0.020408,0.029112,0.068474,0.75052,1,0,2.0
0.666667,1,0.25,0,0.666667,0.027829,0,0.108417,0.75052,0,0,2.0
0.666667,1,0.25,0,0.666667,0.046889,0.056064,0.192582,0.75052,1,0.5,2.0
0.666667,1,0.25,1,1,0.056215,0,0.138374,0,1,0,2.0
1,0.666667,0.25,0,0.666667,0.040322,0,0.126961,0,1,0,2.0
0.666667,1,0.5,0,0.666667,0.068015,0,0.064194,0.75052,1,0,2.0
0.666667,1,0.25,0,0.666667,0.070142,0,0.206847,0.75052,1,0,2.0
1,1,0.25,0,0.666667,0.03086,0.082559,0.172611,0.75052,0.666667,0,1.0
1,0.666667,0.25,0,0.666667,0.047619,0.0546,0.206847,0.75052,1,0.5,2.0
1,1,0.25,1,0.666667,0.021991,0.039456,0.14408,0.75052,1,0.5,2.0
1,0.666667,0.25,0,0.666667,0.036314,0,0.172611,0.75052,1,0.5,2.0
1,0.666667,0.25,0,0.666667,0.050464,0,0.161198,0.75052,1,0.5,1.0
